O*NET-SOC Code,Title,Description,TopSkills,SkillImportance,SoftwareTools,HotTechFlags
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Critical Thinking|Speaking|Reading Comprehension|Writing|Active Listening|Monitoring|Active Learning|Mathematics|Learning Strategies|Science,4.38|4.25|4.12|4.12|4.0|4.0|3.75|3.25|3.12|1.62,Adobe Acrobat|Microsoft Publisher|Intuit QuickBooks|Structured query language SQL|HCSS HeavyJob|Microsoft Dynamics|Microsoft Word|Oracle PeopleSoft|Atlassian JIRA|Nedstat Sitestat|Mentimeter|Sage 50 Accounting|HCSS HeavyBid|Web browser software|Graphic presentation software,Y|N|Y|N|N|N|N|N|N|Y|N|N|N|N|N
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Writing|Critical Thinking|Reading Comprehension|Active Listening|Speaking|Active Learning|Monitoring|Learning Strategies|Mathematics|Science,4.12|4.12|4.0|4.0|4.0|3.75|3.75|3.38|2.88|2.12,Structure query language SQL|Adobe Acrobat|Tableau|Facebook|Management information systems MIS|Microsoft Word|Adobe Photoshop|Web browser software|Teleconferencing software|Salesforce software|SAP software|Email software|Microsoft Access|Microsoft Dynamics GP|Microsoft Excel,Y|Y|N|Y|N|Y|N|Y|Y|Y|Y|Y|Y|Y|Y
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Reading Comprehension|Active Listening|Speaking|Monitoring|Critical Thinking|Active Learning|Writing|Learning Strategies|Mathematics|Science,4.0|4.0|4.0|4.0|3.88|3.62|3.5|3.0|2.62|1.5,Blackboard software|Job control language JCL|Avidian Technologies Prophet|Microsoft FrontPage|SeaMonkey|Oracle PeopleSoft|Apple Keynote|Oracle Taleo|Google Slides|The MathWorks MATLAB|Salesforce software|HEAT Software GoldMine|Tax software|Dropbox|vtiger CRM,N|N|Y|Y|Y|N|N|Y|N|Y|N|N|Y|Y|Y
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,Legislative Automative Workflow System LAWS|Adobe Acrobat|Microsoft Visual Basic|Structured query language SQL|Apple Numbers for Mac|LogMeIn GoToMeeting|Microsoft Word|PTC Arbortext|Web browser software|Adobe FrameMaker|Microsoft SQL Server|Mapping software|Apple iWork Pages|Windows Media Player|Microsoft Access,Y|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Active Listening|Speaking|Critical Thinking|Reading Comprehension|Writing|Monitoring|Active Learning|Learning Strategies|Mathematics|Science,4.12|4.12|3.88|3.75|3.75|3.5|3.38|3.0|2.88|1.5,Adobe After Effects|Instagram|Webtrends software|IBM Lotus Notes|Adobe Acrobat|Microsoft Publisher|Adobe Acrobat Reader|Business analysis software|Data visualization software|Structure query language SQL|YouTube|Tableau|WordPress|Avid Media Composer|Facebook,N|Y|N|Y|Y|N|N|Y|Y|N|Y|N|N|N|N
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Active Listening|Speaking|Reading Comprehension|Critical Thinking|Active Learning|Monitoring|Writing|Learning Strategies|Mathematics|Science,4.12|4.0|3.88|3.88|3.88|3.88|3.25|3.25|3.0|1.75,LogMeIn GoToMeeting|Apache Cassandra|Oracle PeopleSoft|Apple Keynote|NoSQL|Ruby|Google Slides|The MathWorks MATLAB|Adobe Illustrator|Salesforce software|Tax software|Oracle Siebel Server Sync|Dropbox|Database reporting software|Constant Contact,Y|N|N|Y|Y|N|Y|Y|Y|N|N|N|Y|Y|Y
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Active Listening|Speaking|Reading Comprehension|Critical Thinking|Monitoring|Active Learning|Writing|Learning Strategies|Mathematics|Science,4.0|4.0|3.88|3.88|3.88|3.75|3.62|3.12|3.0|1.62,Avidian Technologies Prophet|LogMeIn GoToMeeting|Oracle PeopleSoft|Apple Keynote|Oracle Taleo|Google Slides|Salesforce software|HEAT Software GoldMine|Tax software|Dropbox|Social media sites|Teradata Database|Vanguard Software Vanguard Sales Manager|Microsoft Dynamics GP|Adobe ActionScript,N|Y|N|Y|N|N|N|Y|N|N|N|N|N|N|Y
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",Speaking|Reading Comprehension|Active Listening|Writing|Critical Thinking|Active Learning|Monitoring|Learning Strategies|Mathematics|Science,4.25|4.12|4.12|4.0|3.88|3.62|3.5|3.0|2.38|1.12,Adobe After Effects|Flipgrid|Adobe Acrobat|Microsoft Publisher|YouTube|WordPress|Facebook|Microsoft Dynamics|Microsoft Word|Zoom|Adobe Photoshop|Mentimeter|zkipster|Adobe Creative Cloud software|Web browser software,Y|Y|Y|N|N|Y|Y|N|Y|N|N|N|N|N|N
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",Speaking|Critical Thinking|Active Listening|Reading Comprehension|Writing|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,4.12|4.12|4.0|3.88|3.88|3.38|3.12|3.0|2.62|1.25,Adobe After Effects|Flipgrid|Adobe Acrobat|Microsoft Publisher|YouTube|Facebook|Microsoft Dynamics|Microsoft Word|Adobe Photoshop|Mentimeter|zkipster|Adobe Creative Cloud software|Web browser software|WeVideo|Adobe Distiller,Y|Y|Y|N|N|Y|Y|N|Y|N|N|N|N|N|N
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",Reading Comprehension|Active Listening|Speaking|Writing|Critical Thinking|Monitoring|Active Learning|Learning Strategies|Mathematics|Science,4.0|4.0|3.88|3.75|3.75|3.38|3.12|3.0|2.25|1.0,Delphi Technology|Adobe Acrobat|Microsoft Publisher|Intuit QuickBooks|Microsoft Dynamics|Microsoft Word|Oracle Hyperion|LexisNexis|Sage 300 Construction and Real Estate|Oracle PeopleSoft|Atlassian JIRA|Sage 50 Accounting|Sage MAS 200 ERP|Web browser software|Minitab,Y|N|N|N|Y|Y|N|N|N|N|N|N|Y|N|N
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",Speaking|Reading Comprehension|Active Listening|Critical Thinking|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.75|3.75|3.75|3.75|3.25|3.12|3.0|2.75|1.5,Delphi Technology|Adobe Acrobat|Microsoft Publisher|Intuit QuickBooks|Microsoft Dynamics|Microsoft Word|Oracle Hyperion|Sage 300 Construction and Real Estate|Oracle PeopleSoft|Sage 50 Accounting|Sage MAS 200 ERP|Web browser software|Autodesk AutoCAD|ADP Enterprise HR|Adobe PageMaker,Y|N|N|N|Y|Y|N|N|N|N|N|Y|N|Y|N
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",Critical Thinking|Reading Comprehension|Active Listening|Speaking|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,4.25|4.12|4.12|4.0|4.0|3.75|3.62|3.38|2.5|1.38,Emergency notification system software|Incident command system ICS software|Platform as a service PaaS|Payroll software|Maintenance management software|Facebook|Microsoft Word|Oracle PeopleSoft|Amazon Web Services AWS software|McAfee|Web browser software|Graphics software|NortonLifeLock cybersecurity software|Mapping software|SAP software,N|Y|N|N|Y|N|N|N|N|N|N|N|N|N|Y
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Critical Thinking|Reading Comprehension|Active Listening|Speaking|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,4.12|4.0|4.0|3.88|3.88|3.75|3.38|3.25|3.12|1.75,Blackboard software|Progress OpenEdge Application Server|Microsoft FrontPage|Apache Cassandra|Node.js|MongoDB|Embarcadero Delphi|NoSQL|Oracle PeopleSoft|Enterprise JavaBeans|The MathWorks MATLAB|File transfer protocol FTP software|Tax software|Apple iWork Numbers|Apache Tomcat,N|N|N|N|N|Y|Y|Y|N|Y|N|N|Y|N|N
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",Reading Comprehension|Active Listening|Speaking|Critical Thinking|Writing|Monitoring|Mathematics|Active Learning|Learning Strategies|Science,4.0|4.0|4.0|4.0|3.75|3.75|3.5|3.5|3.0|1.25,Delphi Technology|Oracle Database|Adobe Acrobat|Credit management software|Oracle JD Edwards EnterpriseOne|Microsoft Visual Basic|Accounts receivable software|SAP Crystal Reports|Intuit QuickBooks|Oracle Business Intelligence Enterprise Edition|Structured query language SQL|Microsoft Dynamics|Tableau|Microsoft Word|Oracle Hyperion,N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",Reading Comprehension|Active Listening|Speaking|Mathematics|Critical Thinking|Active Learning|Monitoring|Writing|Learning Strategies|Science,4.0|4.0|4.0|4.0|4.0|3.88|3.88|3.62|3.0|1.0,Hyperion Solutions System 9 Planning|Microsoft SharePoint Server|Oracle JD Edwards EnterpriseOne|Deltek professional services software|Exact Software Macola ES|SAP Crystal Reports|Intuit QuickBooks|Oracle Business Intelligence Enterprise Edition|Structured query language SQL|Microsoft Dynamics|ADP software|Automatic Data Processing PC payroll for windows PCPW|Microsoft Word|Oracle Hyperion|Oracle PeopleSoft,N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",Reading Comprehension|Active Listening|Critical Thinking|Speaking|Active Learning|Writing|Monitoring|Mathematics|Learning Strategies|Science,4.0|4.0|4.0|3.88|3.75|3.62|3.5|3.38|2.88|1.0,Financial accounting software|Portfolio analysis software|Tableau|Structured query language SQL|Microsoft Word|Oracle Hyperion|Statistical analysis software|Web browser software|SAP software|Oracle Hyperion Planning|SAS|SunGard Financial Systems AddVantage|Microsoft Power BI|Microsoft MapPoint|Microsoft Access,N|N|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|N|N
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Speaking|Critical Thinking|Monitoring|Reading Comprehension|Active Listening|Learning Strategies|Active Learning|Writing|Mathematics|Science,4.0|4.0|4.0|3.88|3.88|3.75|3.62|3.38|3.38|1.62,Adobe After Effects|WorkTech MAXIMO|Employee performance management system|Oracle JD Edwards EnterpriseOne|Adobe Acrobat|Exact Software JobBOSS|Computer integrated manufacturing CIM warehouse shipping manager software|YouTube|Intuit QuickBooks|Microsoft Word|Adobe Photoshop|Computer integrated manufacturing CIM software|Oracle PeopleSoft|AVEVA InTouch HMI|Web browser software,N|Y|Y|Y|Y|N|Y|N|N|N|N|N|N|N|N
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",Reading Comprehension|Active Listening|Writing|Speaking|Monitoring|Critical Thinking|Active Learning|Mathematics|Learning Strategies|Science,4.0|3.88|3.88|3.88|3.88|3.75|3.62|3.12|3.12|2.25,Adobe Acrobat|Harrington Group caWeb|MasterControl software|Harrington Group HQMS|Structured query language SQL|Computing Solutions LabSoft LIMS|PQ Systems CHARTrunner Lean|Abbott Informatics STARLIMS:LIMS|CAMA Software Quality Collaboration By Design QCBD|Microsoft Word|ASI DATAMYTE QDA|Laboratory Automated Quality Control Systems LAQC|Quality Systems International WinLIMS|Selenium|Statgraphics,N|Y|N|N|N|Y|N|N|N|N|N|N|N|Y|N
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Critical Thinking|Reading Comprehension|Speaking|Monitoring|Active Listening|Writing|Active Learning|Mathematics|Learning Strategies|Science,4.0|3.88|3.88|3.88|3.62|3.62|3.5|3.25|3.25|2.38,Microsoft Access|Personnel scheduling software|Infostat RIMBase|Microsoft Excel|Microsoft Office software|Data logging software|Microsoft Word|Microsoft Outlook,N|N|Y|Y|Y|Y|Y|N
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",Reading Comprehension|Critical Thinking|Active Listening|Monitoring|Speaking|Writing|Learning Strategies|Active Learning|Mathematics|Science,3.88|3.88|3.75|3.75|3.62|3.5|3.38|3.25|3.0|3.0,Web browser software|Adobe Acrobat|Computerized maintenance management system CMMS|Autodesk AutoCAD|Distributed control system DCS|Inventory control software|Human machine interface HMI software|Microsoft Excel|Microsoft Office software|Microsoft Word|Microsoft PowerPoint|Employee scheduling software|Microsoft Outlook,Y|Y|N|N|N|N|N|Y|Y|Y|Y|Y|N
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Speaking|Critical Thinking|Reading Comprehension|Active Listening|Monitoring|Writing|Active Learning|Mathematics|Learning Strategies|Science,4.0|4.0|3.88|3.88|3.88|3.12|3.12|3.0|3.0|2.5,Computerized maintenance management system CMMS|Distributed control system DCS|Inventory control software|Microsoft Excel|Microsoft Office software|Microsoft Word|Microsoft PowerPoint|Employee scheduling software|Microsoft Outlook,N|N|N|N|Y|Y|Y|Y|Y
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Active Listening|Speaking|Reading Comprehension|Monitoring|Critical Thinking|Active Learning|Learning Strategies|Writing|Mathematics|Science,4.12|4.12|3.88|3.88|3.75|3.62|3.62|3.5|3.25|3.25,Email software|Microsoft Active Server Pages ASP|VMware|Microsoft Access|Oracle Database|Personnel scheduling software|Structure query language SQL|Computerized maintenance management system CMMS|Microsoft Project|Distributed control system DCS|Microsoft SQL Server|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word,Y|N|N|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Active Listening|Speaking|Reading Comprehension|Writing|Monitoring|Critical Thinking|Active Learning|Mathematics|Learning Strategies|Science,4.0|4.0|3.88|3.88|3.88|3.75|3.25|3.12|3.0|1.0,Bowen & Groves M1 ERP|Oracle Database|IBM Lotus Notes|Oracle JD Edwards EnterpriseOne|Microsoft Dynamics|Microsoft Word|Infor Lawson Supply Chain Management|Oracle PeopleSoft|PurchasingNet eProcurement|Web browser software|Oracle Primavera P6 Enterprise Portfolio Project Management|Automated purchase order software|Oracle PeopleSoft Financials|SAP software|Oracle PeopleSoft Enterprise Financial Management Solutions,N|N|N|N|N|N|N|N|N|Y|N|Y|Y|Y|Y
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",Reading Comprehension|Active Listening|Monitoring|Writing|Speaking|Critical Thinking|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.88|3.75|3.62|3.62|3.62|3.62|3.38|2.75|1.0,WorkForce Software EmpCenter Time and Attendance|Materials resource planning MRP software|Autodesk AutoCAD Civil 3D|Transtek Compass ERP|USPS.com|Transportation management system TMS software|ALK Technologies FleetSuite|Iptor Supply Chain|Cadre Technologies Accuplus Integrated Distribution Logistics System|DSA Foxware Warehouse Management|Warehouse management system WMS|TECSYS EliteSeries|Integrated Decision Support Corporation Expert Fuel|Microsoft Dynamics GP|Radio Beacon WMS,N|N|N|N|N|N|N|N|Y|N|Y|N|N|N|N
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Reading Comprehension|Active Listening|Speaking|Monitoring|Writing|Critical Thinking|Active Learning|Mathematics|Learning Strategies|Science,4.0|4.0|4.0|4.0|3.88|3.88|3.75|3.0|3.0|1.12,IBS Supply Chain Management|Oracle JD Edwards EnterpriseOne|Lawson S3 Supply Chain Management|Structured query language SQL|Microsoft Dynamics|Red Prarie Warehouse Management|JDA Master Planning|Microsoft Word|Oracle Hyperion|Oracle e-Business Suite Supply Chain Management|IBS MRP|Infor Lawson Supply Chain Management|Oracle PeopleSoft|i2 Collaborative Supply Execution|Minitab,N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,4.0|4.0|4.0|4.0|3.88|3.75|3.38|3.0|3.0|1.0,Business analysis software|Vantage Point Software HRA|Saigun Technologies EmpXtrack|Oracle PeopleSoft|PDS Vista|Workday software|Lawson Human Resource Management|PaloAlto Advertising Plan Pro|!Trak-it Solutions !Trak-it HR|Adobe Illustrator|Quark enterprise publishing software|Datamatics V-Core HR|Microsoft Dynamics GP|Experience in Software Webplanner|FSC Business Solutions Department Managers' Toolkit,N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",Active Listening|Reading Comprehension|Speaking|Writing|Critical Thinking|Active Learning|Monitoring|Learning Strategies|Mathematics|Science,4.38|4.25|4.25|4.12|4.0|4.0|4.0|3.75|3.0|1.5,Jantek Electronics Jupiter Time & Attendance|Data Management TimeClock Plus|Pereless Systems software|AASoftTech Web Organization Chart|Oracle PeopleSoft|Oracle Taleo|Qqest TimeForce|Workday software|Lawson Human Resource Management|peoplefluent Performance|Applicant tracking software|Social media sites|Fidelity HR/Payroll|Microsoft Dynamics GP|New World Systems Logos.NET,N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",Learning Strategies|Reading Comprehension|Active Listening|Speaking|Writing|Monitoring|Critical Thinking|Active Learning|Mathematics|Science,4.25|4.0|4.0|4.0|3.88|3.88|3.75|3.75|2.88|1.5,Blackboard software|Microsoft FrontPage|Apache Cassandra|Alchemy Systems SISTEM|Oracle PeopleSoft|Adobe Illustrator|Dazzlersoft DazzlerMax|Saba Centra|Learn.com CourseMaker Studio|Adobe ActionScript|eXe|Microsoft Office software|Xerceo Learn|Microsoft Project|Computer Generated Solutions Learning Management System,Y|N|N|N|Y|Y|N|N|N|Y|N|N|N|N|N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",Active Listening|Critical Thinking|Reading Comprehension|Speaking|Active Learning|Monitoring|Writing|Mathematics|Learning Strategies|Science,3.88|3.88|3.75|3.62|3.38|3.38|3.25|2.88|2.88|2.62,Custom Software Group CSG AgroSys|Trimble Farm Works|Payroll software|John Deere Apex Farm Management|ESRI ArcPad|Facebook|Geographic information system GIS systems|Farm Files Livestock|ZedX AgFleet|Agevo Farm Manager|Microsoft Word|Resource planning software|Geographic resources analysis support system GRASS|Global Mapper Software Global Mapper|Ag Connections Land.db,N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Active Listening|Critical Thinking|Reading Comprehension|Speaking|Active Learning|Monitoring|Writing|Mathematics|Learning Strategies|Science,4.0|4.0|3.88|3.88|3.88|3.88|3.75|3.5|3.12|2.12,Axios Systems assyst|Oracle JD Edwards EnterpriseOne|Quantum Software Solutions Quantum Project Manager|Adobe Acrobat|Autodesk AutoCAD Civil 3D|Sage 100 Contractor|AEC Software FastTrack Schedule|HCSS HeavyJob|Microsoft Dynamics|3M Post-it App|QuickBase business management software|Microsoft Word|Jobber Computer Plus|Sage 300 Construction and Real Estate|Profitool software (human resources feature),N|Y|Y|N|N|Y|Y|Y|N|N|N|N|N|N|N
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",Reading Comprehension|Active Listening|Speaking|Critical Thinking|Writing|Active Learning|Learning Strategies|Monitoring|Mathematics|Science,4.0|4.0|4.0|4.0|3.88|3.88|3.88|3.88|2.75|1.88,SDS Software Solutions DayCare Information Systems PRO|Emerging Technologies Office Center|SoftCare CenterCare|Microsoft Publisher|Cirrus Group Daycare Works|OnCare Advantage|Intuit QuickBooks|Microsoft Word|Mount Taylor Programs Private Advantage|Tadpoles|Web browser software|Auburn Software Debit Square|GroupMe|Personalized Software Childcare Manager|Professional Solutions ProCare,N|N|N|N|N|N|N|N|Y|N|N|N|Y|Y|Y
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",Active Listening|Learning Strategies|Reading Comprehension|Speaking|Writing|Critical Thinking|Active Learning|Monitoring|Mathematics|Science,4.88|4.88|4.75|4.75|4.62|4.62|4.0|4.0|3.0|2.0,Blackboard software|Microsoft Publisher|Rethink Ed|Apache Cassandra|Microsoft Word|Rediker Software School Office Suite|L-Systems X-ONE|Web browser software|Seasia Consulting School Wizard|Minitab|StataCorp Stata|Schoology|School Attendance Keeper|Google Calendar|The MathWorks MATLAB,N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Monitoring|Active Learning|Learning Strategies|Mathematics|Science,4.12|4.12|4.0|4.0|4.0|4.0|3.88|3.75|2.88|1.5,Blackboard software|Enterprise resource planning ERP system|Microsoft Publisher|YouTube|SunGard Higher Education Banner Unified Digital Campus|Facebook|Microsoft Dynamics|Microsoft Word|Oracle PeopleSoft|Mentimeter|Sage 50 Accounting|Student and Exchange Visitor Information System SEVIS|Web browser software|Minitab|StataCorp Stata,N|N|N|N|N|N|N|N|N|Y|N|N|N|Y|N
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,,,,
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Reading Comprehension|Active Listening|Writing|Speaking|Mathematics|Critical Thinking|Active Learning|Monitoring|Learning Strategies|Science,4.12|4.0|4.0|4.0|3.88|3.88|3.88|3.75|3.25|2.62,Autodesk AutoCAD Civil 3D|Ansible software|Amazon Elastic Compute Cloud EC2|Apache Cassandra|Node.js|Drawing and drafting software|MongoDB|NoSQL|Ruby|The MathWorks MATLAB|Water surface pressure gradient WSPG software|HEC-1|Amazon DynamoDB|Dassault Systemes SolidWorks|Atlassian Confluence,N|N|N|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Reading Comprehension|Writing|Speaking|Critical Thinking|Active Listening|Active Learning|Monitoring|Mathematics|Science|Learning Strategies,3.62|3.62|3.62|3.62|3.5|3.25|3.25|3.12|3.12|2.88,GE Energy GateCycle|Structure query language SQL|Microsoft Dynamics|Microsoft Word|Dassault Systemes CATIA|Microsoft SQL Server Reporting Services SSRS|Web browser software|Adobe Illustrator|Formula translation/translator FORTRAN|Microsoft SQL Server|Oracle Primavera Enterprise Project Portfolio Management|Epic Systems|SAP software|Agilent ChemStation|Email software,N|Y|N|N|N|Y|N|N|N|N|Y|N|Y|N|Y
